,Time s,x,y,z,dx,dy,dz
0,45840.0,-5857747.682347028,3914329.593324676,-664298.2385353231,303.9259685280264,1695.770995203556,7398.40271875841
1,45900.0,-5827286.256731871,4007995.78101682,-219344.862789066,710.735471414971,1424.780103960355,7428.351671039628
2,45960.0,-5772563.154594163,4085116.141947059,226499.9794442868,1112.359735739207,1144.438043138857,7428.105832050806
3,46020.0,-5693941.136934428,4145165.154290807,671423.6286348517,1507.083015720957,855.9382642073665,7397.653837188969
4,46080.0,-5591884.7992975,4187690.39319807,1113616.522591417,1893.227663692523,560.5231743074328,7337.110306586732
5,46140.0,-5466958.067346608,4212315.318566765,1551279.780227718,2269.16185673678,259.4786688790896,7246.716746969269
6,46200.0,-5319821.178857918,4218741.660668582,1982632.769714327,2633.308089309002,-45.87314468555411,7126.839204678135
7,46260.0,-5151227.263356505,4206751.450926886,2405920.491581072,2984.148471179666,-354.1784037003751,6977.966163411259
8,46320.0,-4962018.54361145,4176208.74501016,2819420.92883819,3320.232491930259,-664.0582057216295,6800.708110915687
9,46380.0,-4753122.074050877,4127060.891236365,3221452.262421908,3640.183931978587,-974.1161497568746,6595.793815837334
10,46440.0,-4525545.108061146,4059339.385535846,3610379.851514689,3942.706657350735,-1282.94480872467,6364.066510262921
11,46500.0,-4280370.126946247,3973160.326822693,3984622.984075473,4226.590037098199,-1589.132694390671,6106.479791706145
12,46560.0,-4018749.57455218,3868724.461511095,4342661.350854447,4490.713266559765,-1891.270660673897,5824.092745126432
13,46620.0,-3741900.335027116,3746316.869016037,4683041.254540675,4734.050086792222,-2187.957878485868,5518.06599159368
14,46680.0,-3451097.902408519,3606306.244800502,5004381.542229154,4955.673632235188,-2477.809188734172,5189.655893469924
15,46740.0,-3147670.340878479,3449143.761544234,5305379.160439061,5154.758872671462,-2759.461500541824,4840.208583486377
16,46800.0,-2832992.079248977,3275361.557774303,5584814.379464413,5330.585860692217,-3031.580119882272,4471.154239982438
17,46860.0,-2508477.538414439,3085570.851844888,5841555.630295935,5482.541699710229,-3292.864671761921,4084.000371744523
18,46920.0,-2175574.658171443,2880459.709394778,6074563.969710016,5610.122355635608,-3542.055014085717,3680.325966140371
19,46980.0,-1835758.303965071,2660790.434778146,6282897.163736924,5712.93455971522,-3777.937721618877,3261.774308406546
20,47040.0,-1490523.606882044,2427396.597038076,6465713.293736403,5790.695869949491,-3999.351451458652,2830.044676259152
21,47100.0,-1141379.351543105,2181179.778617007,6622273.91646245,5843.233480712754,-4205.191214636546,2386.886115999339
22,47160.0,-789841.4070995544,1923106.041001756,6751946.888591286,5870.484093474674,-4394.413605498609,1934.09184534816
23,47220.0,-437426.1523070593,1654202.074683367,6854208.810801531,5872.493975486521,-4566.041841654057,1473.492208660173
24,47280.0,-85643.91880619068,1375551.062480615,6928647.030431691,5849.418209367854,-4719.170390849328,1006.94713411584
25,47340.0,264007.4860513823,1088288.275766974,6974961.186814865,5801.518816470667,-4852.969102528773,536.338554681213
26,47400.0,610049.131147906,793596.4454749579,6992964.324641773,5729.162653908791,-4966.686760105499,63.5636257012287
27,47460.0,951027.190281714,492700.9105244283,6982583.606772334,5632.819315341961,-5059.654965810434,-409.4720429855148
